frase,ideologia
es indispensable lograr que las y los jueces sean cercanos a la sociedad y sensibles a sus problemas.,izquierda
"sirve inmediatamente, y ya tienes unos huevos revueltos de campeonato, cuyo único truco es usar el mejor huevo que te puedas permitir.",no_politico
"y por limpio se refiere a que está libre de fertilizantes y a que el pulque no es sintético, es decir, no tiene harinas, nopalillo, sacarina o endulzantes artificiales.",no_politico
una ley federal de trabajo que favorezca la paternidad responsable.,derecha
"sin duda, estos valores nos fortalecerán para incrementar la confianza en nuestros precandidatos y candidatos.",izquierda
"mi hermano el más chico puso un negocio y mi otro hermano tiene un centro de rehabilitación, contó orgullosa.",no_politico
"sin este polvo, la cantidad de estrellas y planetas en el universo no sería la misma, agregó el investigador.",no_politico
", con el fin de realizar proyecciones que permitan estabilizar dicho consumo.",derecha
"la deficiente vinculación de los sectores productivos público, privado y social con el sistema educativo no permite la interacción para realizar programas permanentes e intensivos de capacitación para el trabajo",izquierda
"con seguridad y justicia sin impunidad, con crecimiento que se traduzca en la mejora del ingreso familiar.",izquierda
"no exagera, las cazuelitas que acogen a ambas elaboraciones están presentes en casi todas las mesas de manteles de papel y sillas de plástico del mosto.",no_politico
de esta manera contribuimos a frenar el deterioro del medio ambiente a la vez que preservamos nuestros recursos naturales.,derecha
"en materia de lavado de dinero o contrabando, implementar una estrategia de carnada semejante al caso casablanca, pero instrumentado totalmente por las instituciones mexicanas correspondientes.",izquierda
línea de acción 2 homologar criterios para la comercialización y exportación de productos y servicios tecnológicos.,izquierda
promover la oralización gradual del sistema de justicia.,izquierda
deporte y esparcimiento 5.23 a 5.24,izquierda
"te puede interesar: conductores de hoy arremeten contra la pepe aguilar tras pleito con emiliano aguilar cómo homenajeó andrea escalona a su mamá, magda rodríguez, este 1 de noviembre?",no_politico
"3.3.2.fortalecer las capacidades policiales mediante la capacitación permanente y el uso de tecnología e inteligencia, como elementos fundamentales para abatir los delitos.",derecha
"un país como méxico no puede admitir que se adquiera un avión presidencial con un valor de 7,500 millones de pesos.",izquierda
"además de responder sobre su posible regreso a los foros, vanessa guzmán informó que dejará el fisicoculturismo debido a una lesión en la cadera.",no_politico
"en el caso de los países desarrollados se tira diariamente a la basura una gran cantidad de cosas que en los países en vías de desarrollo son reutilizadas y siguen siendo, bienes valiosos.",derecha
"apoyar campañas masivas de comunicación para prevenir y tratar las adicciones, así como rehabilitar aquienes las padecen.",derecha
"implantar un nuevo modelo de la gestión pública: presupuesto en función de medidas de planeación, resultados, austeridad, reordenamiento administrativo.",derecha
"1.3.8.prevención de desastres, resiliencia y protección civil",izquierda
relanzar la inversión pública como instrumento básico para el crecimiento nacional.,derecha
"impulsaremos el trabajo legislativo en las negociaciones del presupuesto de egresos de la federación de los siguientes ejercicio fiscales, para que se destinen mayores recursos a la infraestructura hidráulica del país.",derecha
"generar modalidades de vinculaciones eficientes y creativas con la sociedad civil y las personas activistas y defensoras de derechos humanos de manera particular con quienes han sido víctimas directas de la violencia y la inseguridad,",derecha
nuestro país es resultado del esfuerzo de millones de mexicanos y de sus profundas transformaciones sociales y económicas.,izquierda
demandar el estricto cumplimiento al artículo 26 constitucional de los estados unidos mexicanos,izquierda
estrategia 1 reinserción y nuevas oportunidades para jóvenes infractores,izquierda
y estimular la vinculación y transferencia de conocimiento de las instituciones de educación superior y centros de investigación hacia los sectores productivos.,derecha
"4.1.3.2.relanzar los factores de producción nacional, con una lógica de libre comercio e integración plena al mundo.",derecha
"algunas tareas pendientes están relacionadas con los esquemas de organización de la judicatura, y de los procedimientos y de las formas de administración de justicia,",izquierda
"el pri entiende que los conceptos de soberanía nacional, seguridad nacional y desarrollo se encuentran íntimamente vinculados, por ello la seguridad nacional reviste una importancia estratégica para el país.",derecha
"promover los proyectos de empleo temporal enfocados a la construcción de infraestructura social: caminos, agua potable, electrificación, drenaje, escuelas rurales y casas de salud.",izquierda
"de hecho, en otros países latinoamericanos las expectativas de crecimiento son aún más bajas como brasil 0.2 y chile 0.8.",derecha
línea de acción 3 incrementar el número de funcionarios adscritos a la secretaría de relaciones exteriores que desempeñen sus funciones en el exterior.,izquierda
"por lo mismo, hemos impulsado leyes y programas para el desarrollo de habilidades y aptitudes relacionadas con el liderazgo, la tolerancia, la creatividad y el espíritu emprendedor.",derecha
"lo que ha permitido la identificación son los elementos propios de su estilo y también toda esta simbología: la montaña, la caverna, la vegetación.",no_politico
"para establecer una agenda de reformas legales que den sustento y permitan el desarrollo de la ciencia y la tecnología,",derecha
línea de acción 2 establecer normas para inducir a que estas empresas utilicen insumos nacionales y contraten a trabajadores de las regiones a las que llegan.,derecha
"dirigir el mayor porcentaje del presupuesto, de créditos y de financiamiento, hacia una ganadería sustentable, que generen un crecimiento económico bajo la premisa de la conservación de la naturaleza.",derecha
"con un enfoque narrativo y visual que combina la tensión emocional con los mitos urbanos, no me sigas busca posicionarse como un nuevo referente del cine de género mexicano con proyección internacional.",no_politico
en la protección de los suelos y del agua;,izquierda
línea de acción 1 realización frecuente de estudios sociodemográficos cuantitativos y cualitativos para detección de temas de interés y problemáticas de los jóvenes.,izquierda
objetivo 3: sistema de salud universal,izquierda
"la educación debe ir de la mano de un proyecto científico nacional, apoyado en la innovación e investigación tanto básica como aplicada.",derecha
"se lo veía en forma, aunque debido a la mala calidad del papel que empleaban los diarios moldavos la foto era bastante borrosa.",no_politico
las políticas públicas de seguridad y justicia tienen que estar centradas en las necesidades de las personas y las familias mexicanas.,izquierda
transformar el fondo nacional de desastres para que actúe de manera oportuna y eficaz frente a los efectos provocados por los fenómenos naturales.,derecha
la educación es la herramienta más poderosa para que un joven pueda forjar su propio destino.,derecha
consolidar un mecanismo de coordinación interinstitucional entre las instancias encargadas de la seguridad.,derecha
apoyar los proyectos que impulsen el uso de tecnologfas tendientes a reducir el uso de sustancias peligrosas y penalizar la generación de residuos y emisiones contaminantes.,derecha
"implementar una política de seguridad ciudadana que garantice el pleno respeto de los derechos humanos, proteja a las víctimas y se sustente en la participación ciudadana.",derecha
"donde los cárteles de las drogas están afectando las garantías individuales de derecho a la vida, de libre tránsito, de libertad de expresión y otras.",derecha
de abusos policíacos o militares,derecha
y ambientales semejantes a las que se observan en sus países de origen.,izquierda
4.3.8.1 fortalecer y supervisar el cumplimiento de los planes de ordenamiento territorial.,derecha
establecer la obligación nacional del bloqueo de señales de teléfono celular e internet al interior y en las periferias de tales centros.,izquierda
por ello estamos trabajando en iniciativas de ley que promueven un manejo adecuado de estos desechos.,derecha
"para más notas sobre tus celebridades favoritas, busca la versión impresa y digital de tu revista tvnotas.",no_politico
promoveremos cambios a la política monetaria para alentar la inversión,derecha
"ahí es donde comienza la historia que se ha vuelto un ícono del cine en méxico, no solo por su guion, que aborda la pobreza y marginación indígena, así como la fragilidad de la vida.",no_politico
revisión de las políticas y criterios de recaudación y aplicación de impuestos federales y estatales.,izquierda
6.construir una relación respetuosa con estados unidos.,izquierda
"4.2.13.1.1.garantizar el acceso de las y los jóvenes a la educación y la capacitación, promoviendo que desarrollen una actitud emprendedora y creativa.",izquierda
teniendo como fin último mejorar la calidad de vida de los mexicanos,derecha
objetivo 10: impulso al turismo para el empleo y el bienestar,izquierda
e impulsar la investigación científica sobre cultivos y artes de pesca.,derecha
"sin embargo la sobreexplotación, la contaminación y la disponibilidad del recurso, constituyen la problemática central del tema de agua en méxico.",derecha
la productividad promedio del sector informal es de una tercera parte de la que se logra en el sector moderno.,derecha
"reforma administrativa, de gobierno y combate a la corrupcion",izquierda
cazzu comentó en el podcast el flowcast que el contrato de alquiler que tenía en buenos aires se había vuelto carísimo y ya no podía costearlo por lo cual tuvo que mudarse.,no_politico
no están en óptimas condiciones,derecha
"promover una cultura de aprovechamiento racional del agua a través de los sistemas de educación, medios de comunicación,",derecha
"la trayectoria histórica del priismo nos ha permitido conocer y entender a las mujeres desde la diversidad que conforman, así como comprender que la discriminación de género afecta a todos los sectores sociales.",izquierda
"nuestro estado social y de derecho también debe enriquecerse en el proceso de la transformación política de nuestro país,",izquierda
"la desigualdad regional fragmenta el desarrollo del país, erosiona la cohesión social y abre el camino para el conflicto y la inseguridad.",izquierda
"nuestro partido lucha por recuperar el poder político a partir de establecer un compromiso con la sociedad mexicana en su conjunto, con sus electores, con las mayorías populares,",izquierda
"porque la política económica se ha orientado más al logro de equilibrios macroeconómicos y ha dejado de lado las políticas de crecimiento, empleo y distribución del ingreso,",derecha
"promoveremos en el congreso de la unión como parte de una reforma fiscal una reforma que dé a méxico un sistema nacional de pensiones que garantice a todos los mexicanos, trabajadores, pensionadosyjubilados una pensiónjustaydigna,",izquierda
"jones cerró su mensaje citando una frase que fátima bosch compartió tras el incidente: no importa si tienes un sueño o una corona, si eso te quita la dignidad debes irte.",no_politico
"las comunidades que hablan y enseñan sus lenguas originarias transmiten valores, tradiciones y conocimiento ancestral que enriquecen a todo méxico.",no_politico
intercambio económico y financiamiento,izquierda
línea de acción 5 promover la asesoría y la educación financiera para las pymes.,izquierda
"para encuentro social, es a partir de la familia como se recuperará la confianza en la sociedad y en las instituciones.",derecha
y también determina que se llevará el servicio de internet gratuito a 250 mil sitios públicos como parte de una política de inclusión digital universal.,izquierda
5.1 reformar los artículos 5º y 73 de la constitución política de los estados unidos mexicanos,izquierda
"los problemas que encaran los jóvenes constituyen un reto no sólo para las sociedades actuales, sino para las generaciones futuras.",izquierda
"también es causa del bajo crecimiento la declinación de la productividad, que según la ocde, disminuyó de 1.9 por ciento en el periodo 19952000 a 0.5 por ciento en el lapso de 20012005,",derecha
"asimismo, legislaremos para hacer efectivos a nivel de legislación nacional los compromisos ambientales adquiridos en el exterior.",derecha
se logró romper con añejos paradigmas y se renovó el andamiaje institucional para impulsar a méxico en el concierto internacional.,izquierda
"la programación comenzará a las 17:00 horas con la película animada ana y bruno 2017, dirigida por carlos carrera.",no_politico
"4.2.9.8.5.garantizar que el gasto en salud se efectúe en la atención de los rubros prioritarios, por encima de los gastos administrativos y burocráticos, conforme a las mejores prácticas internacionales en la materia.",izquierda
la historia es también la crónica del movimiento de los pueblos y nuestro continente no es ajeno a esta historia.,izquierda
"por ello, entiende que su mamá no puede agradarle a todo el mundo, pero aun así la ama y la apoya incondicionalmente.",no_politico
"o de la población en reclusorios de este rango de edad, 14,606 96.8 son hombres y473 3.1 mujeres",izquierda
diagnóstico de la secretaría de desarrollo social del gdf:,derecha
"desarrollo económico, desarrollo humano y desarrollo sostenible.",derecha
"dada la lógica predominante de privatizar las ganancias y socializar las pérdidas, los negativos efectos de la crisis económica se cargan como siempre en las espaldas de la mayoría de la gente.",izquierda
564 mil 548 personas con discapacidad de las cuales 224 mil 158 personas son además jefes o jefas de familia,derecha
los grupos mejor organizados lograron una mayor satisfacción de sus demandas sociales a través de la mediación política que les permitía el sistema corporativo de representación de intereses.,izquierda
"crecimiento económico, productividad, competitividad y empleo",derecha
fomento del arte y la cultura.,derecha
en españa tiene otro legado en las vitrinas de la liga femenil con el pichichi.,no_politico
"llegué por invitación, la verdad no lo buscaba.",no_politico
y para inversiones en infraestructura y producción en cadena en regiones con desventajas competitivas.,derecha
méxico se siente orgulloso del crecimiento que han tenido los estudios profesionales tanto en la oferta como en la demanda.,derecha
"en general, los indicadores de salud mejoraron de manera consistente a lo largo de la década.",derecha
"no obstante ello, gradualmente se ha construido una amplia infraestructura urbana para mejorar la vida en las ciudades.",derecha
